w,f,f_unc
2.95500581,0.04815841,9.631682e-05
2.95567081,0.04786088999999999,9.572177999999997e-05
2.95633581,0.04718625,9.43725e-05
2.95700081,0.047273159999999995,9.454632e-05
2.95766581,0.04799560999999999,9.599121999999997e-05
2.95833081,0.0498608,9.972159999999999e-05
2.95899581,0.04918929,9.837858e-05
2.95966081,0.04984307999999999,9.968615999999998e-05
2.96032581,0.04983945,9.96789e-05
2.96099081,0.04967611000000001,9.935222000000002e-05
2.96165581,0.049526600000000004,9.905320000000002e-05
2.96232081,0.049188539999999996,9.837707999999999e-05
2.96298581,0.04966796,9.933592e-05
2.96365081,0.0497563,9.95126e-05
2.96431581,0.049818699999999994,9.96374e-05
2.96498081,0.04989342,9.978684e-05
2.96564581,0.050162939999999996,0.00010032587999999999
2.96631081,0.049782810000000004,9.956562000000002e-05
2.96697581,0.05004373,0.00010008746000000001
2.96764081,0.049471379999999995,9.894275999999999e-05
2.96830581,0.048716630000000004,9.743326e-05
2.96897081,0.04773021999999999,9.546043999999999e-05
2.96963581,0.0478815,9.5763e-05
2.97030081,0.04765777000000001,9.531554000000002e-05
2.97096581,0.04776124000000001,9.552248000000002e-05
2.97163081,0.04854961,9.709922e-05
2.97229581,0.04870349000000001,9.740698000000002e-05
2.97296081,0.04906275999999999,9.812551999999998e-05
2.97362581,0.04925056,9.850112e-05
2.97429081,0.04855092,9.710184e-05
2.97495581,0.04860714,9.721428e-05
2.97562081,0.04846365,9.69273e-05
2.97628581,0.04852315,9.70463e-05
2.97695081,0.04845941,9.691882e-05
2.97761581,0.04837368999999999,9.674737999999999e-05
2.97828081,0.04900736000000001,9.801472000000001e-05
2.97894581,0.049767040000000005,9.953408000000002e-05
2.97961081,0.050081520000000004,0.00010016304000000001
2.98027581,0.049759420000000006,9.951884000000001e-05
2.98094081,0.04941351000000001,9.882702000000002e-05
2.98160581,0.048795179999999994,9.759035999999999e-05
2.98227081,0.04860835,9.721670000000001e-05
2.98293581,0.04872166,9.744332e-05
2.98360081,0.048363739999999995,9.672747999999999e-05
2.98426581,0.04886401,9.772802e-05
2.98493081,0.04932804000000001,9.865608000000002e-05
2.98559581,0.04878742,9.757484e-05
2.98626081,0.04859821,9.719642000000001e-05
2.98692581,0.04782231,9.564462e-05
2.98759081,0.04766746,9.533492e-05
2.98825581,0.04754003,9.508006e-05
2.98892081,0.04760251000000001,9.520502000000002e-05
2.98958581,0.04775138000000001,9.550276000000002e-05
2.99025081,0.04800481,9.600962000000001e-05
2.99091581,0.047969170000000005,9.593834000000001e-05
2.99158081,0.04807528000000001,9.615056000000003e-05
2.99224581,0.04765964999999999,9.531929999999998e-05
2.99291081,0.04782932999999999,9.565865999999998e-05
2.99357581,0.04712830999999999,9.425661999999999e-05
2.99424081,0.04734716,9.469432000000001e-05
2.99490581,0.04773062,9.546124e-05
2.99557081,0.04754583,9.509166e-05
2.99623581,0.04750632999999999,9.501265999999998e-05
2.99690081,0.04761844999999999,9.523689999999999e-05
2.99756581,0.04800492,9.600984e-05
2.99823081,0.048396020000000005,9.679204000000001e-05
2.99889581,0.04914249999999999,9.828499999999998e-05
2.99956081,0.048910590000000004,9.782118000000001e-05
